id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
107,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,55,ug.m-3,journaliere,2018/01/04 23:00:00+00,2018/01/05 23:00:00+00,1,651166,6862011
108,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,51,ug.m-3,journaliere,2018/01/05 23:00:00+00,2018/01/06 23:00:00+00,1,651166,6862011
109,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,33,ug.m-3,journaliere,2018/01/06 23:00:00+00,2018/01/07 23:00:00+00,1,651166,6862011
110,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,34,ug.m-3,journaliere,2018/01/07 23:00:00+00,2018/01/08 23:00:00+00,1,651166,6862011
111,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,37,ug.m-3,journaliere,2018/01/08 23:00:00+00,2018/01/09 23:00:00+00,1,651166,6862011
112,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,54,ug.m-3,journaliere,2018/01/09 23:00:00+00,2018/01/10 23:00:00+00,1,651166,6862011
113,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,50,ug.m-3,journaliere,2018/01/10 23:00:00+00,2018/01/11 23:00:00+00,1,651166,6862011
114,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,54,ug.m-3,journaliere,2018/01/11 23:00:00+00,2018/01/12 23:00:00+00,1,651166,6862011
115,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,41,ug.m-3,journaliere,2018/01/12 23:00:00+00,2018/01/13 23:00:00+00,1,651166,6862011
116,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,48,ug.m-3,journaliere,2018/01/13 23:00:00+00,2018/01/14 23:00:00+00,1,651166,6862011
117,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,38,ug.m-3,journaliere,2018/01/14 23:00:00+00,2018/01/15 23:00:00+00,1,651166,6862011
118,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,33,ug.m-3,journaliere,2018/01/15 23:00:00+00,2018/01/16 23:00:00+00,1,651166,6862011
119,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,35,ug.m-3,journaliere,2018/01/16 23:00:00+00,2018/01/17 23:00:00+00,1,651166,6862011
120,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,37,ug.m-3,journaliere,2018/01/17 23:00:00+00,2018/01/18 23:00:00+00,1,651166,6862011
121,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,56,ug.m-3,journaliere,2018/01/18 23:00:00+00,2018/01/19 23:00:00+00,1,651166,6862011
122,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,43,ug.m-3,journaliere,2018/01/19 23:00:00+00,2018/01/20 23:00:00+00,1,651166,6862011
123,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,36,ug.m-3,journaliere,2018/01/20 23:00:00+00,2018/01/21 23:00:00+00,1,651166,6862011
124,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,49,ug.m-3,journaliere,2018/01/22 23:00:00+00,2018/01/23 23:00:00+00,1,651166,6862011
125,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,35,ug.m-3,journaliere,2018/01/23 23:00:00+00,2018/01/24 23:00:00+00,1,651166,6862011
126,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,59,ug.m-3,journaliere,2018/01/24 23:00:00+00,2018/01/25 23:00:00+00,1,651166,6862011
127,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,63,ug.m-3,journaliere,2018/01/25 23:00:00+00,2018/01/26 23:00:00+00,1,651166,6862011
