Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.10.2020;18;32;60;
02.10.2020;11;21;38;
03.10.2020;11;24;42;
04.10.2020;12;25;43;
05.10.2020;21;39;71;
06.10.2020;18;26;54;
07.10.2020;13;26;46;27
08.10.2020;13;23;43;32
09.10.2020;9;22;36;37
10.10.2020;8;20;32;38
11.10.2020;13;22;42;34
12.10.2020;14;27;48;27
13.10.2020;42;33;97;22
14.10.2020;5;13;20;49
15.10.2020;7;17;27;41
16.10.2020;8;21;33;36
17.10.2020;8;19;30;32
18.10.2020;4;12;19;36
19.10.2020;15;33;56;26
20.10.2020;17;31;57;16
21.10.2020;19;32;61;15
