Station;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

03.08.2020;19;6;20;29
04.08.2020;16;7;20;30
05.08.2020;21;34;54;107
06.08.2020;21;14;39;60
07.08.2020;34;23;54;89
08.08.2020;40;16;46;70
09.08.2020;36;4;23;29
10.08.2020;28;20;42;71
11.08.2020;27;4;21;27
12.08.2020;27;5;24;31
13.08.2020;35;16;52;76
14.08.2020;27;8;36;48
15.08.2020;27;5;33;41
16.08.2020;22;3;21;25
17.08.2020;28;13;39;58
18.08.2020;20;15;35;58
19.08.2020;17;12;34;52
20.08.2020;24;35;67;120
21.08.2020;25;31;60;107
22.08.2020;20;25;42;79
23.08.2020;13;11;22;39
24.08.2020;16;32;35;84
25.08.2020;19;37;44;101
26.08.2020;12;32;32;81
27.08.2020;16;30;37;83
28.08.2020;18;35;51;105
29.08.2020;16;30;44;90
30.08.2020;20;5;23;31
31.08.2020;15;19;32;62
01.09.2020;13;7;22;34
02.09.2020;16;38;40;99
03.09.2020;17;44;48;116
04.09.2020;14;40;43;104
05.09.2020;15;27;36;77
06.09.2020;12;15;24;46
07.09.2020;15;36;42;97
08.09.2020;18;35;42;95
09.09.2020;20;40;40;101
10.09.2020;16;37;40;96
11.09.2020;26;44;59;126
12.09.2020;23;21;45;78
13.09.2020;20;15;35;59
14.09.2020;36;48;73;146
15.09.2020;44;46;69;140
16.09.2020;35;19;49;77
17.09.2020;14;5;14;22
18.09.2020;20;17;37;63
19.09.2020;22;5;26;34
20.09.2020;25;2;18;22
21.09.2020;34;16;45;69
22.09.2020;50;41;76;138
23.09.2020;52;37;84;141
24.09.2020;34;38;56;114
25.09.2020;17;58;55;144
26.09.2020;12;28;32;76
27.09.2020;9;22;26;59
28.09.2020;14;41;43;105
29.09.2020;21;37;52;109
30.09.2020;27;34;49;101
01.10.2020;32;21;34;66
02.10.2020;37;15;25;48
03.10.2020;27;8;23;35
