Station;171 Mitte;171 Mitte;171 Mitte;171 Mitte
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.09.2020;10;3;13;17
02.09.2020;9;3;23;28
03.09.2020;14;3;21;26
04.09.2020;13;3;21;25
05.09.2020;13;2;16;19
06.09.2020;11;1;12;14
07.09.2020;12;4;24;29
08.09.2020;15;2;21;24
09.09.2020;18;5;19;26
10.09.2020;16;6;21;31
11.09.2020;24;7;37;48
12.09.2020;22;3;26;31
13.09.2020;20;6;29;39
14.09.2020;32;10;43;58
15.09.2020;36;5;40;48
16.09.2020;35;6;31;40
17.09.2020;7;2;10;13
18.09.2020;;2;23;26
19.09.2020;;1;14;16
20.09.2020;;1;11;12
21.09.2020;;2;25;27
22.09.2020;;6;47;56
23.09.2020;;5;49;56
24.09.2020;29;2;28;32
25.09.2020;14;5;33;40
26.09.2020;11;1;17;19
27.09.2020;7;2;17;20
28.09.2020;9;5;18;26
29.09.2020;14;4;30;36
30.09.2020;21;8;33;46
01.10.2020;28;4;23;29
02.10.2020;33;1;13;15
03.10.2020;24;1;14;14
04.10.2020;8;2;18;21
05.10.2020;11;3;22;26
06.10.2020;7;2;16;20
07.10.2020;8;2;21;25
08.10.2020;11;2;17;20
09.10.2020;8;2;18;21
10.10.2020;12;2;18;21
11.10.2020;11;2;18;22
12.10.2020;13;7;28;38
13.10.2020;17;33;29;78
14.10.2020;5;1;10;11
15.10.2020;6;1;11;13
16.10.2020;8;2;14;17
17.10.2020;12;1;12;14
18.10.2020;14;1;11;12
19.10.2020;14;4;28;35
20.10.2020;24;6;26;35
21.10.2020;25;6;28;37
